"album_album","album_img","album_artist","album_sale","album_circulation"
"Incredible","","XIA(준수)","90,787","로엔엔터테인먼트"
"Badman","","B.A.P","88,989","로엔엔터테인먼트"
"One Shot","","B.A.P","86,386","로엔엔터테인먼트"
"1집 No.1","","틴 탑 (Teen Top)","81,956","로엔엔터테인먼트"
"Pink Tape","","f(x)","81,825","지니뮤직"
"11집 The Classic","","신화","78,727","Stone Music Entertainment"
"Let′s Talk About Love","","승리","77,532","지니뮤직"
"틴탑 클래스","","틴 탑 (Teen Top)","73,365","로엔엔터테인먼트"
"`MAMA` EXO-K The 1st Mini Album","","EXO-K","72,415","지니뮤직"
"버스커 버스커 2집","","버스커 버스커 (Busker Busker)","70,148","Stone Music Entertainment"
"Voodoo","","빅스 (VIXX)","62,960","Stone Music Entertainment"
"Y","","김재중","62,000","에이앤지모즈"
"Very Good","","블락비 (Block B)","61,396","Stone Music Entertainment"
"2집 Break Down","","슈퍼주니어-M (Super Junior-M)","54,095","지니뮤직"
"hyde","","빅스 (VIXX)","52,649","Stone Music Entertainment"
"4집 Full Bloom","","카라 (Kara)","46,830","로엔엔터테인먼트"
"Secret Garden","","에이핑크 (Apink)","46,026","Stone Music Entertainment"
"The Misconceptions Of Us","","샤이니 (SHINee)","45,657","지니뮤직"
"One Of A Kind","","G-Dragon","45,332","지니뮤직"
"Illusion","","제국의아이들 (ZE:A)","41,221","지니뮤직"
"3집 Modern Times","","아이유 (IU)","40,360","로엔엔터테인먼트"
"11집 My Love","","이승철","39,124","Stone Music Entertainment"
"Trap","","헨리","38,388","지니뮤직"
"김광석 Best","","김광석","38,108","Stone Music Entertainment"
"The Mood","","FTISLAND (FT 아일랜드)","36,393","Stone Music Entertainment"
"Love Beat","","엠블랙 (MBLAQ)","36,205","Stone Music Entertainment"
"다칠 준비가 돼 있어","","빅스 (VIXX)","35,906","Stone Music Entertainment"
"Present","","씨엔블루 (CNBLUE)","35,657","Stone Music Entertainment"
"1st Mini Album","","마이네임 (My Name)","35,490","로엔엔터테인먼트"
"Thanks To","","FTISLAND (FT 아일랜드)","34,249","Stone Music Entertainment"
"O! RUL8 ,2?","","방탄소년단","34,030","로엔엔터테인먼트"
"Sexy Beat","","엠블랙 (MBLAQ)","33,736","Stone Music Entertainment"
"무한도전 자유로 가요제","","Various Artists","30,000","지니뮤직"
"Chemistry","","트러블메이커","29,970","Universal Music"
"전원일기","","티아라 N4","28,360","로엔엔터테인먼트"
"Flower","","용준형","27,703","Universal Music"
"틴탑 클래스 어디션","","틴 탑 (Teen Top)","27,225","로엔엔터테인먼트"
"버스커 버스커 1집","","버스커 버스커 (Busker Busker)","25,161","Stone Music Entertainment"
"I yah (Repackage)","","보이프렌드 (Boyfriend)","24,675","로엔엔터테인먼트"
"Again","","티아라 (T-ara)","24,652","지니뮤직"
"2 Cool 4 Skool","","방탄소년단","24,441","로엔엔터테인먼트"
"스릴러","","비투비 (BTOB)","23,949","Universal Music"
"Grown (Grand Edition)","","2PM","23,336","지니뮤직"
"Give It To Me","","씨스타 (Sistar)","22,365","로엔엔터테인먼트"
"6집 싸이6甲 Part 1","","싸이 (Psy)","22,094","지니뮤직"
"어느 봄날","","2AM","21,737","지니뮤직"
"Paradise","","인피니트 (Infinite)","20,843","Stone Music Entertainment"
"Super Junior World Tour Super Show 4","","슈퍼주니어 (Super Junior)","20,263","지니뮤직"
"One Of A Kind In Seoul (2013 G-Dragon ...","","G-Dragon","20,031","지니뮤직"
"2011 Girls′ Generation Tour","","소녀시대","19,836","지니뮤직"
